pH,Turbidity,TDS,DO,Temperature,EC,Chlorine,Nitrate,Quality
6.5,8.49,913.09,2.48,20.65,1881.6,0.4,4.68,Unsafe
8.8,5.0,837.76,6.1,24.17,239.23,0.28,5.66,Unsafe
7.93,2.04,591.45,7.59,16.98,454.12,0.36,3.87,Safe
7.39,7.39,790.5,7.35,23.94,1334.0,1.0,10.12,Unsafe
5.62,4.24,611.14,7.86,19.06,925.95,1.78,7.87,Unsafe
5.62,5.99,1021.1,8.86,20.55,1066.12,0.69,7.82,Unsafe
5.23,1.16,1269.04,8.97,24.56,651.56,0.94,3.28,Unsafe
8.46,6.35,1201.65,4.87,32.73,1180.24,0.16,8.17,Unsafe
7.4,3.8,576.97,5.51,26.57,253.13,1.24,8.37,Safe
7.83,3.41,813.19,5.49,15.35,391.82,0.75,0.58,Safe
5.08,9.8,114.92,6.49,17.87,121.99,1.37,4.45,Unsafe
8.88,4.38,1318.39,3.72,16.27,801.38,1.19,9.87,Unsafe
8.33,6.81,443.55,7.41,18.73,1796.36,1.48,4.78,Unsafe
5.85,6.31,717.53,2.89,21.87,1385.09,1.57,5.85,Unsafe
5.73,1.13,313.57,8.66,18.5,999.79,0.56,7.39,Unsafe
5.73,7.5,1049.35,2.87,24.23,1830.58,1.06,2.47,Unsafe
6.22,3.3,863.42,7.2,31.48,842.47,1.16,10.25,Unsafe
7.1,8.01,610.71,4.78,31.51,1049.24,0.93,1.52,Unsafe
6.73,6.12,849.27,6.44,21.79,826.93,0.83,11.51,Unsafe
6.16,3.24,336.23,4.2,21.53,704.53,1.9,5.7,Unsafe
7.45,3.63,1185.89,2.84,29.92,106.22,0.31,5.23,Unsafe
5.56,7.34,472.34,8.57,23.3,1618.37,0.34,8.78,Unsafe
6.17,5.55,961.03,5.57,34.4,294.32,1.27,13.15,Unsafe
6.47,6.72,1359.16,4.1,23.9,399.41,0.56,7.54,Unsafe
6.82,1.67,154.02,6.37,19.86,413.6,2.0,5.76,Unsafe
8.14,7.89,642.55,3.81,15.2,659.79,0.26,12.78,Unsafe
5.8,3.27,288.88,2.28,34.08,1752.06,1.51,12.02,Unsafe
7.06,6.24,1372.12,7.56,17.37,1527.97,1.47,14.56,Unsafe
7.37,1.24,604.11,8.97,18.5,374.85,1.49,1.51,Safe
5.19,3.28,398.68,8.7,15.77,1880.24,1.37,11.55,Unsafe
7.43,6.52,1047.07,8.16,24.3,1462.6,0.25,13.33,Unsafe
5.68,2.81,860.47,7.23,23.17,1077.03,0.72,6.72,Unsafe
5.26,8.82,1243.71,3.13,31.32,685.94,0.3,6.57,Unsafe
8.8,6.65,1154.3,3.09,26.11,1645.04,1.35,2.64,Unsafe
